Reference Number,Vessel  ID,Year,Segment,Size Category,Capacity (GT),Length,Capacity Index,Size Index, Total Number of vessels in Segment , Total Active Vessels in Segment , Total Engine Power (kW) for Segment-Size , Total Capacity (GT)  for Segment-Size , Average Length for Segment ,Total Jobs,FTE,  Fishing Income,Non Fishing Income,Total Income, Wages,Energy Costs (Fuel),Repairs & Maintenance,Filters/Lube Oil,Provisions,Ice,Dues & Levies,Sundry Variable Costs,Total Variable Costs,Insurance,Loan Interest,Accountancy,Legal Fees,Sundry fixed costs,Total Fixed Costs,TOTAL COSTS,GROSS PROFIT,Depreciation,Sundry receipts,Net Profit / (Loss)
299,26,2010,DTS,18-24,96.8,22.0,4.6,3.1,65,64,"25,890","8,937",21.6,,,"€531,886",,"€531,886","€226,423","€91,308","€24,351","€8,085","€10,046",,,"€109,384","€469,597","€12,560",,"€4,000","€28,630","€16,082","€61,272","€530,869","€1,017",,,"€1,017"
300,549,2010,FPO,10-12,6.1,10.3,1.8,2.3,126,92,"10,040","1,264",11.1,3.0,2.0,"€30,799",,"€30,799",,"€2,400",€700,€100,€200,,,"€1,000","€4,400","€3,000",,"€1,000",,"€1,800","€5,800","€10,200","€20,599",,,"€20,599"
301,398,2010,DFN,00-10,4.5,9.4,1.5,2.2,354,118,"7,023",836,6.8,3.0,2.0,"€55,537",,"€55,537",,"€8,000","€1,300",€430,€400,,€275,€0,"€10,405",,,,,€0,€0,"€10,405","€45,132",,,"€45,132"
302,564,2010,DRB,00-10,3.3,8.0,1.2,2.1,346,85,"9,064",960,7.1,2.0,1.5,"€9,643",,"€9,643","€15,700","€1,200","€3,500",€300,,€200,,€300,"€21,200",,,,,€0,€0,"€21,200","-€11,557",,,"-€11,557"
303,363,2010,DFN,00-10,12.0,10.2,2.5,2.3,354,118,"7,023",836,6.8,1.0,1.0,"€44,503",,"€44,503",,"€3,000",€500,€20,€700,,€50,€0,"€4,270","€3,800",,,,"€1,520","€5,320","€9,590","€34,913",,,"€34,913"
304,392,2010,FPO,12-18,12.0,13.8,2.5,2.6,21,19,"2,213",330,12.6,4.0,4.0,"€280,464","€1,000","€281,464","€88,041","€35,098","€34,162","€1,858","€12,623",,,"€1,198","€172,980","€9,492","€4,477","€1,985","€2,100","€5,952","€24,006","€196,986","€84,478","€20,423",,"€64,055"
305,467,2010,FPO,00-10,9.1,9.6,2.2,2.3,701,510,"15,660","1,375",6.5,3.0,2.0,"€106,369",,"€106,369",,"€3,000","€3,000",€500,€700,,€600,€700,"€8,500","€1,700",,"€2,400",,"€1,200","€5,300","€13,800","€92,569",,,"€92,569"
306,470,2010,FPO,00-10,1.9,9.9,0.6,2.3,701,510,"15,660","1,375",6.5,3.0,2.0,"€189,212",,"€189,212",,"€6,000","€17,800",,,,,€0,"€23,800",€743,,"€1,100",,"€2,350","€4,193","€27,993","€161,219",,,"€161,219"
307,172,2010,DRB,00-10,5.6,8.2,1.7,2.1,346,85,"9,064",960,7.1,3.0,2.0,,"€1,000","€1,000",,€830,"€2,200",€10,€45,,,€0,"€3,085","€2,800",,"€1,200",,€640,"€4,640","€7,725","-€6,725",,,"-€6,725"
308,65,2010,FPO,10-12,8.2,11.4,2.1,2.4,126,92,"10,040","1,264",11.1,3.0,2.0,"€114,819",,"€114,819",,,"€2,000",€100,€200,,"€6,750",€0,"€9,050","€2,000",,€780,,€200,"€2,980","€12,030","€102,789",,,"€102,789"
309,220,2010,DFN,10-12,10.9,10.7,2.4,2.4,33,11,"2,181",327,10.9,2.0,1.5,"€18,701",,"€18,701",,"€14,000",€500,€30,€500,,,€400,"€15,430","€1,263",,,,€50,"€1,313","€16,743","€1,958",,,"€1,958"
310,433,2010,DFN,00-10,8.3,10.3,2.1,2.3,354,118,"7,023",836,6.8,4.0,2.5,,"€1,000","€1,000",,"€4,640","€9,000",€300,"€1,700",€70,€840,€0,"€16,550","€4,400",,€600,,"€9,100","€14,100","€30,650","-€29,650",,,"-€29,650"
311,475,2010,FPO,00-10,1.2,5.4,0.2,1.7,701,510,"15,660","1,375",6.5,2.0,1.5,"€4,717",,"€4,717",,,€800,€50,,,,€900,"€1,750",,,,,€0,€0,"€1,750","€2,967",,,"€2,967"
312,593,2010,FPO,00-10,1.4,5.9,0.4,1.8,701,510,"15,660","1,375",6.5,3.0,2.0,"€23,815",,"€23,815",,"€1,800",€100,€200,,,,€0,"€2,100",,,,,€0,€0,"€2,100","€21,715",,,"€21,715"
313,370,2010,DRB,10-12,8.1,10.2,2.1,2.3,54,14,"4,351",522,10.9,3.0,2.0,"€6,873","€1,000","€7,873",,"€1,910","€8,500",€150,€250,€200,€100,€800,"€11,910",,,"€2,200",,"€2,700","€4,900","€16,810","-€8,937",,,"-€8,937"
314,197,2010,TM,40-70,"1,469.0",60.7,7.3,4.1,21,20,"40,645","27,587",55.4,13.0,13.0,"€5,555,881","€57,383","€5,613,264","€1,054,136","€850,478","€858,698",,"€29,941",,"€56,924","-€1,517","€2,848,660","€103,005","€108,906","€18,000","€6,050","€191,652","€427,613","€3,276,273","€2,336,991","€548,048",,"€1,788,943"
315,222,2010,FPO,10-12,11.2,11.5,2.4,2.4,126,92,"10,040","1,264",11.1,3.0,2.0,"€63,659",,"€63,659",,"€5,000","€1,000",€200,,,€150,€0,"€6,350",,,"€1,500",,"€1,000","€2,500","€8,850","€54,809",,,"€54,809"
316,108,2010,FPO,10-12,15.6,10.7,2.7,2.4,126,92,"10,040","1,264",11.1,3.0,2.0,"€139,577",,"€139,577",,"€20,160","€30,000",€500,"€5,000",,€300,€0,"€55,960","€2,200",,"€1,300",,€150,"€3,650","€59,610","€79,967",,,"€79,967"
317,713,2010,TM,24-40,305.9,24.6,5.7,3.2,11,10,"8,448","3,905",31.5,9.0,7.5,"€1,243,710","€5,628","€1,249,338","€277,808","€251,973","€125,790",,"€14,470",,"€19,416","€33,141","€722,598","€34,880","€37,038","€12,500","€1,750","€364,860","€451,028","€1,173,626","€75,712","€361,805",,"-€286,093"
318,405,2010,DRB,00-10,5.4,10.1,1.7,2.3,346,85,"9,064",960,7.1,3.0,2.0,,"€1,000","€1,000",,"€2,965",€500,€175,€380,€200,€100,€450,"€4,770",,,"€2,200",,"€3,200","€5,400","€10,170","-€9,170",,,"-€9,170"
319,704,2010,DRB,24-40,188.3,39.2,5.2,3.7,28,3,"11,144","3,626",31.1,4.0,3.5,"€464,678",,"€464,678","€94,719","€32,431",,,,,,€417,"€127,567","€14,859","€117,564","€10,000","€20,336",€453,"€163,212","€290,779","€173,899","€122,990",,"€50,909"
321,322,2010,DFN,00-10,4.2,7.8,1.4,2.0,354,118,"7,023",836,6.8,3.0,2.0,"€44,880",,"€44,880",,"€4,100","€1,000",,,,,€920,"€6,020","€2,600",,"€1,900",,"€2,210","€6,710","€12,730","€32,150",,,"€32,150"
322,187,2010,DFN,00-10,3.2,7.6,1.2,2.0,354,118,"7,023",836,6.8,2.0,1.5,"€35,969",,"€35,969","€30,000","€2,030","€1,900",€400,€950,€620,€60,"€1,640","€37,600",€800,,€484,,"€1,970","€3,254","€40,854","-€4,885",,,"-€4,885"
323,28,2010,DTS,24-40,195.1,22.2,5.3,3.1,37,35,"19,118","8,172",26.3,9.0,9.0,"€805,138",,"€805,138","€109,889","€250,260","€208,879",,"€26,598",,"€2,200","€48,250","€646,076","€31,569","€11,294","€2,100",€946,"€14,612","€60,521","€706,597","€98,541","€5,842",,"€92,699"
324,231,2010,TM,24-40,279.0,28.1,5.6,3.3,11,10,"8,448","3,905",31.5,8.0,8.0,"€1,889,097",,"€1,889,097","€1,013,767","€74,410","€132,454",,"€19,686",,"€30,355","€59,808","€1,330,480","€37,963",,"€5,500","€3,926","€3,166","€50,555","€1,381,035","€508,062","€352,010",,"€156,052"
325,326,2010,DTS,12-18,46.4,13.9,3.8,2.6,59,55,"9,918","2,664",15.3,3.0,2.0,"€171,991",,"€171,991","€25,573","€40,831","€6,562",,,,,"€10,171","€83,137",,€66,"€1,100",,"€48,044","€49,210","€132,347","€39,644","€5,644",,"€34,000"
326,362,2010,FPO,10-12,7.7,10.2,2.0,2.3,126,92,"10,040","1,264",11.1,4.0,2.5,"€139,228",,"€139,228","€28,000","€19,000","€2,700",,,,€770,€0,"€50,470","€6,770",,"€1,900",,€400,"€9,070","€59,540","€79,688",,,"€79,688"
327,236,2010,DTS,12-18,36.3,15.9,3.6,2.8,59,55,"9,918","2,664",15.3,3.0,3.0,"€12,041",,"€12,041","€2,032","€13,956","€2,300",€675,"€9,020",€300,€113,"€2,931","€31,327",,€150,€775,,"€3,334","€4,259","€35,586","-€23,545","€13,956",€113,"-€37,388"
328,70,2010,DTS,12-18,34.6,12.2,3.5,2.5,59,55,"9,918","2,664",15.3,3.0,3.0,"€65,000",,"€65,000","€16,000","€22,000","€25,000","€1,200","€3,800","€3,500",,"€8,500","€80,000","€4,500","€17,500","€2,000",,"€2,500","€26,500","€106,500","-€41,500",,,"-€41,500"
329,238,2010,FPO,10-12,9.4,11.5,2.2,2.4,126,92,"10,040","1,264",11.1,4.0,2.5,"€219,457",,"€219,457","€20,000","€6,200","€2,500",€750,"€1,500",,€200,€0,"€31,150","€4,000",,"€1,500",,€620,"€6,120","€37,270","€182,187",,,"€182,187"
330,699,2010,DRB,24-40,138.2,32.9,4.9,3.5,28,3,"11,144","3,626",31.1,6.0,5.0,,,€0,,"€24,574","€36,888",,,,"€5,358","€40,517","€107,337","€21,522","€21,823","€2,000",,"€4,106","€49,451","€156,788","-€156,788","€55,661",,"-€212,449"
331,132,2010,TM,24-40,300.0,34.6,5.7,3.5,11,10,"8,448","3,905",31.5,7.0,7.0,"€1,157,933",,"€1,157,933","€241,166","€147,231","€193,239",€0,"€29,813",€0,"€26,209","€142,525","€780,183","€34,067","€73,325","€9,680",€750,"€61,951","€179,773","€959,956","€197,977","€192,913",€0,"€5,064"
332,239,2010,FPO,00-10,6.4,9.9,1.9,2.3,701,510,"15,660","1,375",6.5,2.0,1.5,"€33,089",,"€33,089",,"€1,800","€1,500",€450,€300,€150,€200,€0,"€4,400",,,€700,,"€1,000","€1,700","€6,100","€26,989",,,"€26,989"
333,336,2010,DRB,10-12,11.8,11.4,2.5,2.4,54,14,"4,351",522,10.9,4.0,2.5,,"€1,000","€1,000",,"€16,000","€4,300",€700,"€2,500",,,€0,"€23,500","€3,270",,"€1,500",,"€2,250","€7,020","€30,520","-€29,520",,,"-€29,520"
334,240,2010,FPO,12-18,11.9,14.3,2.5,2.7,21,19,"2,213",330,12.6,3.0,2.0,"€82,219",,"€82,219",,"€7,000",€800,€800,,,,€0,"€8,600","€1,700",,,,€500,"€2,200","€10,800","€71,419",,,"€71,419"
335,146,2010,DRB,00-10,8.5,10.6,2.1,2.4,346,85,"9,064",960,7.1,3.0,2.0,"€79,691",,"€79,691",,"€14,000","€5,028",€800,"€3,600","€1,200",€250,"€4,690","€29,568","€3,700",,"€1,000",,"€1,600","€6,300","€35,868","€43,823",,,"€43,823"
336,156,2010,DRB,10-12,10.7,10.8,2.4,2.4,54,14,"4,351",522,10.9,4.0,2.5,,"€1,000","€1,000",,"€17,000","€5,000",€700,"€2,500",,,"€1,200","€26,400","€3,270",,"€1,500",,"€2,250","€7,020","€33,420","-€32,420",,,"-€32,420"
337,711,2010,DTS,18-24,186.7,23.7,5.2,3.2,65,64,"25,890","8,937",21.6,10.0,8.0,"€599,276",€3,"€599,279","€121,958","€248,960","€109,551",,"€10,656",,"€8,514",€0,"€499,639","€2,461","€5,814","€6,244",,"€29,409","€43,928","€543,567","€55,712","€109,125",,"-€53,413"
338,305,2010,FPO,10-12,11.1,10.3,2.4,2.3,126,92,"10,040","1,264",11.1,2.0,1.5,"€39,469",,"€39,469",,"€4,668","€1,100",€400,"€1,450",,,€300,"€7,918","€1,500",,"€1,000",,€0,"€2,500","€10,418","€29,051",,,"€29,051"
339,196,2010,TM,40-70,"1,469.0",62.7,7.3,4.1,21,20,"40,645","27,587",55.4,13.0,5.4,"€5,552,616","€78,425","€5,631,041","€1,003,976","€858,813","€978,561",,"€30,339",,"€56,978",€0,"€2,928,667","€116,280","€39,540","€18,000","€6,050","€123,453","€303,323","€3,231,990","€2,399,051","€538,756",,"€1,860,295"
340,242,2010,DRB,00-10,2.8,7.3,1.0,2.0,346,85,"9,064",960,7.1,3.0,2.0,"€74,043",,"€74,043",,"€1,500","€1,910",€200,,,,"€3,399","€7,009",€900,,"€1,000",,€360,"€2,260","€9,269","€64,774",,,"€64,774"
341,634,2010,FPO,10-12,19.2,12.2,3.0,2.5,126,92,"10,040","1,264",11.1,4.0,2.5,"€35,368",,"€35,368",,"€3,000","€4,000",€500,"€1,500",,,€0,"€9,000","€2,500",,€700,,€600,"€3,800","€12,800","€22,568",,,"€22,568"
342,244,2010,FPO,10-12,11.0,12.0,2.4,2.5,126,92,"10,040","1,264",11.1,3.0,2.0,"€36,565",,"€36,565",,"€1,685",€900,€600,"€1,000",,,€0,"€4,185","€4,200",,"€1,000",,€0,"€5,200","€9,385","€27,180",,,"€27,180"
343,181,2010,DRB,00-10,2.7,7.2,1.0,2.0,346,85,"9,064",960,7.1,3.0,2.0,"€93,925","€8,325","€102,250",,"€9,260","€10,050",€550,,,,€0,"€19,860","€2,500",,"€1,083",,"€1,500","€5,083","€24,943","€77,307",,,"€77,307"
344,343,2010,DTS,24-40,171.0,25.1,5.1,3.2,37,35,"19,118","8,172",26.3,12.0,9.0,"€1,288,557",,"€1,288,557","€381,968","€392,586","€140,042",,"€34,232",,,"€60,668","€1,009,496","€21,368","€41,198","€5,000",,"€32,614","€100,180","€1,109,676","€178,881","€20,000",,"€158,881"
345,13,2010,DTS,24-40,182.3,24.7,5.2,3.2,37,35,"19,118","8,172",26.3,8.0,8.0,"€753,323",,"€753,323","€234,948","€258,466","€95,277",,"€20,248",,"€3,168","€3,035","€615,142","€22,686","€25,142","€1,668",,"€6,967","€56,463","€671,605","€81,718","€26,616",,"€55,102"
346,102,2010,FPO,10-12,8.6,11.0,2.1,2.4,126,92,"10,040","1,264",11.1,2.0,1.0,"€41,872",,"€41,872",,"€3,500","€2,000",€400,"€1,000",,,€0,"€6,900",,,€600,,"€1,400","€2,000","€8,900","€32,972",,,"€32,972"
347,155,2010,FPO,00-10,8.3,10.2,2.1,2.3,701,510,"15,660","1,375",6.5,3.0,2.0,"€147,888",,"€147,888",,"€5,700","€5,000",€400,"€2,440",,,"€5,000","€18,540","€4,000",,"€1,600",,€0,"€5,600","€24,140","€123,748",,,"€123,748"
348,355,2010,FPO,10-12,16.1,12.3,2.8,2.5,126,92,"10,040","1,264",11.1,3.0,2.0,"€22,617",,"€22,617",,"€2,774","€2,400",,,,,€0,"€5,174","€4,800",,€500,,€0,"€5,300","€10,474","€12,143",,,"€12,143"
349,246,2010,DTS,12-18,43.1,14.8,3.8,2.7,59,55,"9,918","2,664",15.3,2.0,2.0,"€82,251",,"€82,251","€15,825","€24,056","€3,687","€6,082","€8,998",€303,€655,"€1,386","€60,992","€10,000",,"€1,495",,"€4,485","€15,980","€76,972","€5,279",,,"€5,279"
351,126,2010,FPO,10-12,11.5,10.4,2.4,2.3,126,92,"10,040","1,264",11.1,3.0,2.0,"€66,748",,"€66,748",,"€5,500","€2,500",€500,"€1,000",,,"€2,500","€12,000",,,"€1,400",,"€2,250","€3,650","€15,650","€51,098",,,"€51,098"
352,169,2010,DTS,24-40,239.2,25.5,5.5,3.2,37,35,"19,118","8,172",26.3,5.0,5.0,"€506,661",,"€506,661","€49,917","€97,489","€38,590","€5,424","€6,293","€2,619",,"€14,799","€215,131","€24,150","€38,525","€3,577","€6,112","€6,143","€78,507","€293,638","€213,023","€133,132","€36,374","€116,265"
354,73,2010,DFN,10-12,11.3,10.5,2.4,2.3,33,11,"2,181",327,10.9,3.0,2.0,"€20,646",,"€20,646",,"€6,670","€3,000",€500,"€2,000","€2,000","€1,500","€2,000","€17,670","€1,100",,"€1,200",,"€2,050","€4,350","€22,020","-€1,374",,,"-€1,374"
355,20,2010,DTS,18-24,113.3,19.8,4.7,3.0,65,64,"25,890","8,937",21.6,4.0,4.0,"€543,714",,"€543,714","€124,105","€144,374","€41,707","€6,680","€15,554","€6,449","€1,170","€7,271","€347,310","€29,736","€14,164","€3,750",,"€438,770","€486,420","€833,730","-€290,016","€56,298",,"-€346,314"
356,85,2010,DRB,10-12,8.0,10.3,2.1,2.3,54,14,"4,351",522,10.9,3.0,2.0,,,€0,,"€17,167","€2,500",€550,€640,,€100,€800,"€21,757",,,€500,,"€3,700","€4,200","€25,957","-€25,957",,,"-€25,957"
357,364,2010,FPO,10-12,13.9,11.6,2.6,2.5,126,92,"10,040","1,264",11.1,4.0,2.5,"€196,941",,"€196,941",,"€18,000","€4,000",€600,"€1,500",,€200,€0,"€24,300","€4,000",,"€1,600",,"€2,000","€7,600","€31,900","€165,041",,,"€165,041"
358,189,2010,DFN,00-10,5.3,8.3,1.7,2.1,354,118,"7,023",836,6.8,3.0,2.0,"€124,310",,"€124,310",,"€13,500","€3,000",€500,"€4,000",,€510,"€3,500","€25,010","€3,500",,"€1,500",,€480,"€5,480","€30,490","€93,820",,,"€93,820"
359,695,2010,DRB,24-40,148.4,32.9,5.0,3.5,28,3,"11,144","3,626",31.1,4.0,3.5,"€327,348",,"€327,348",,"€38,352","€62,053",,"€3,960",,,"€114,639","€219,004","€12,091",,"€2,200",,"€8,199","€22,490","€241,494","€85,854","€7,170",,"€78,684"
360,586,2010,FPO,00-10,5.7,10.5,1.7,2.4,701,510,"15,660","1,375",6.5,3.0,2.0,"€17,761",,"€17,761",,"€1,400",€750,€600,,,€280,€0,"€3,030","€2,500",,,,"€1,594","€4,094","€7,124","€10,637",,,"€10,637"
361,579,2010,FPO,00-10,5.4,8.9,1.7,2.2,701,510,"15,660","1,375",6.5,3.0,2.0,"€20,996",,"€20,996",,"€1,190","€1,200",€260,,,,€0,"€2,650","€2,000",,€700,,€440,"€3,140","€5,790","€15,206",,,"€15,206"
363,186,2010,FPO,10-12,11.5,11.3,2.4,2.4,126,92,"10,040","1,264",11.1,5.0,3.0,"€161,011","€15,000","€176,011",,"€21,189","€11,290","€1,280","€5,000","€1,241","€1,931","€6,217","€48,147","€11,953",,"€1,850",,"€9,566","€23,369","€71,516","€104,495",,,"€104,495"
364,311,2010,DRB,00-10,5.4,8.3,1.7,2.1,346,85,"9,064",960,7.1,3.0,2.0,"€21,280",,"€21,280",,€490,€400,€50,,,,€0,€940,,,,,€120,€120,"€1,060","€20,220",,,"€20,220"
365,79,2010,DTS,12-18,26.3,13.4,3.3,2.6,59,55,"9,918","2,664",15.3,2.0,2.0,"€119,439",,"€119,439","€15,969","€21,363","€16,288",,"€2,916",,,"€2,180","€58,716","€7,405","€8,093",€800,"€2,709","€2,406","€21,413","€80,129","€39,310","€30,292",,"€9,018"
366,592,2010,FPO,00-10,2.9,8.6,1.1,2.2,701,510,"15,660","1,375",6.5,2.0,1.5,"€29,075",,"€29,075",,€917,"€1,000",,€500,,,€0,"€2,417",,,€960,,€0,€960,"€3,377","€25,698",,,"€25,698"
367,45,2010,DTS,24-40,167.9,25.0,5.1,3.2,37,35,"19,118","8,172",26.3,6.0,6.0,"€641,103",,"€641,103","€178,424","€223,955","€42,671",,"€13,426","€1,606",,"€53,458","€513,540","€50,795","€37,309","€3,200","€2,400","€23,925","€117,629","€631,169","€9,934","€34,264","€1,802","-€22,528"
368,570,2010,DFN,00-10,4.2,8.2,1.4,2.1,354,118,"7,023",836,6.8,2.0,1.5,"€16,472",,"€16,472",,,€500,€150,,,,€0,€650,"€1,400",,,,€0,"€1,400","€2,050","€14,422",,,"€14,422"
369,383,2010,DRB,10-12,5.6,11.3,1.7,2.4,54,14,"4,351",522,10.9,4.0,2.5,,,€0,,"€3,684","€3,800","€1,000",,,,"€4,822","€13,306","€2,008",,"€1,200",,"€1,500","€4,708","€18,014","-€18,014",,,"-€18,014"
370,128,2010,DFN,00-10,4.2,9.0,1.4,2.2,354,118,"7,023",836,6.8,3.0,2.0,"€53,922",,"€53,922",,"€4,300","€1,000",€750,€200,,,€0,"€6,250","€1,200",,€650,,"€2,100","€3,950","€10,200","€43,722",,,"€43,722"
371,154,2010,DFN,00-10,5.1,8.8,1.6,2.2,354,118,"7,023",836,6.8,3.0,2.0,"€40,690",,"€40,690",,"€2,300",€390,€300,€300,,,"€1,500","€4,790","€1,800",,€500,,€0,"€2,300","€7,090","€33,600",,,"€33,600"
372,122,2010,FPO,00-10,3.8,7.9,1.3,2.1,701,510,"15,660","1,375",6.5,3.0,2.0,"€79,509",,"€79,509",,"€8,500",,€400,,,,€0,"€8,900","€1,400",,€500,,"€5,000","€6,900","€15,800","€63,709",,,"€63,709"
373,431,2010,DFN,00-10,2.1,7.4,0.7,2.0,354,118,"7,023",836,6.8,2.0,1.5,"€3,183",,"€3,183","€1,586",€622,€549,€72,,,,€0,"€2,829",,,"€2,296",,"€2,404","€4,700","€7,529","-€4,346",,,"-€4,346"
374,712,2010,TM,24-40,345.1,27.1,5.8,3.3,11,10,"8,448","3,905",31.5,12.0,8.1,"€1,196,332","€52,000","€1,248,332","€293,796","€202,643","€327,127",,"€33,917",,,"€146,593","€1,004,076","€59,147",,"€5,460","€7,920","€139,361","€211,888","€1,215,964","€32,368","€32,833","€162,436","€161,971"
375,89,2010,DRB,10-12,7.4,9.5,2.0,2.3,54,14,"4,351",522,10.9,4.0,2.5,,,€0,,"€5,870","€5,000",€400,"€1,200",,,€0,"€12,470","€5,474",,"€1,100",,"€4,954","€11,528","€23,998","-€23,998",,,"-€23,998"
376,140,2010,FPO,00-10,5.1,10.3,1.6,2.3,701,510,"15,660","1,375",6.5,4.0,2.5,"€171,704",,"€171,704",,"€19,619","€14,000","€1,500","€1,000",,,"€9,220","€45,339","€3,050",,"€2,000",,"€1,800","€6,850","€52,189","€119,515",,,"€119,515"
377,49,2010,DTS,18-24,137.7,24.8,4.9,3.2,65,64,"25,890","8,937",21.6,6.0,6.0,"€618,074",,"€618,074","€164,603","€154,480","€128,470",,"€17,809",,"€7,166","€100,049","€572,577","€32,310","€28,433","€3,762",,"€20,809","€85,314","€657,891","-€39,817","€59,321","€15,200","-€83,938"
378,700,2010,DRB,24-40,140.1,32.2,4.9,3.5,28,3,"11,144","3,626",31.1,4.0,1.3,"€144,000",,"€144,000",,"€12,000","€7,500","€1,000",,,,"€1,000","€21,500","€17,000","€25,000","€2,000",,"€16,000","€60,000","€81,500","€62,500","€42,246",,"€20,254"
379,47,2010,DTS,24-40,148.5,21.8,5.0,3.1,37,35,"19,118","8,172",26.3,13.0,13.0,"€618,074",,"€618,074","€151,006","€189,417","€56,258",,"€19,797",€176,"€4,424","€31,347","€452,425","€19,464","€29,688","€3,306",,"€16,989","€69,447","€521,872","€96,202","€61,708",,"€34,494"
380,601,2010,FPO,00-10,2.7,7.9,1.0,2.1,701,510,"15,660","1,375",6.5,3.0,2.0,"€52,317",,"€52,317",,"€2,500","€1,000",€300,,,€150,"€3,000","€6,950",€761,,€470,,€0,"€1,231","€8,181","€44,136",,,"€44,136"
381,39,2010,DTS,18-24,131.9,23.1,4.9,3.1,65,64,"25,890","8,937",21.6,8.0,8.0,"€552,244",,"€552,244","€180,260","€131,899","€58,677",,"€26,117",,,€0,"€396,953","€13,650","€12,254","€3,726",€144,"€11,638","€41,412","€438,365","€113,879","€39,040",,"€74,839"
382,9,2010,TM,40-70,676.2,38.4,6.5,3.6,21,20,"40,645","27,587",55.4,7.0,7.0,"€2,171,910",,"€2,171,910","€375,220","€211,833","€87,534",,"€13,714",,"€32,603","€121,996","€842,900","€41,335","€93,424","€20,050","€89,350","€170,196","€414,355","€1,257,255","€914,655","€639,990",,"€274,665"
